bfieh,bfiah,bfich,bfinh,bfioh,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
238,333,256,275,230,4,3.89,4.11,1.63,3.5,34,3,9,61,14,1,18,3.2
413,389,378,175,470,4.2,3.78,4.89,1.75,4.3,12,9,0,250,28,2,21,3.1
313,422,378,288,430,3.6,3.56,4.56,1.13,4.8,78,15,2,174,8,2,21,3.6
425,333,367,375,430,4.8,4.11,4,2.5,4,43,25,0,447,37,1,18,2.8
400,411,422,288,450,4.8,4.33,4.67,1.13,4.8,88,8,0,218,31,2,21,3.3
400,356,400,325,410,3.8,4,4.78,1.75,3.9,114,8,0,231,34,2,21,3.3
313,267,300,225,300,3.6,3.33,4.67,1.38,4.1,0,8,0,384,24,1,18,3.1
388,367,367,363,320,4.8,4.33,4.56,1.88,3.7,2,5,0,534,70,2,18,2.6
400,333,344,275,430,4,4,4.11,1.75,4.4,8,11,0,397,17,2,20,3
363,344,300,313,470,4.4,3.89,4.33,1.25,4.8,56,19,2,91,13,2,19,3.3
275,378,356,338,380,3.6,4.56,4.89,1.38,4.5,5,3,0,258,11,1,20,2.8
225,333,278,363,380,4.2,4.22,4.33,1.63,4.2,337,5,1,90,16,2,19,2.3
338,222,400,350,260,3.2,3.11,5,1.63,3.4,283,6,0,201,42,2,20,3.1
325,333,378,413,440,4.2,4.11,4.56,1.88,3.9,75,5,0,171,8,2,38,3.3
475,367,311,288,450,4.6,4.33,4.89,1.5,4.8,179,59,8,1453,57,2,21,3.6
263,389,289,213,350,4.4,3.89,4.89,1.75,4,73,4,0,100,7,1,19,3.1
388,367,400,250,330,4.6,4.56,4.78,1.25,3.9,73,9,0,334,9,1,19,3.6
200,411,378,425,370,4,4.11,4.33,2.25,4.3,17,6,0,66,13,2,19,2.7
338,267,222,338,310,4.4,3.89,4.56,1.38,4.4,47,38,2,194,59,2,19,3.2
325,333,256,388,350,4.4,4.22,4.44,1.5,4.4,73,1,0,298,33,2,18,3
313,411,333,238,330,3.6,3.67,4.11,1.5,3.1,8,4,0,102,10,1,20,3.4
413,311,489,288,490,4.2,3.89,4.89,1.88,4.6,22,26,4,297,22,2,19,3.4
338,333,311,325,450,4.2,4,4.44,1.88,3.8,28,13,0,406,16,2,20,3.4
263,300,378,213,440,4.4,3.22,4.78,1.38,4.7,1,2,0,79,5,1,18,3.6
338,356,278,188,340,3.8,4.33,4.56,1.75,4,0,3,0,163,24,2,18,2.7
263,344,389,438,280,4.4,4.22,4.44,1.25,3.4,26,6,1,94,17,2,19,3.1
